AAA01;;;vřes obecný (<i>Calluna vulgaris</i>)
XBA02;;;hořčice polní (<i>Sinapis arvensis</i>), ostrožka stračka (<i>Consolida regalis</i>), rmen rakouský (<i>Cota austriaca</i>)
XBA03;;; 
XBA04;;;hořčice polní (<i>Sinapis arvensis</i>), rozrazil lesklý (<i>Veronica polita</i>)
XBA05;;;okruh rozrazilu břečťanolistého (<i>Veronica hederifolia agg.</i>), ptačinec žabinec (<i>Stellaria media</i>)
XBB01;;;laskavec ohnutý (laskavec srstnatý) (<i>Amaranthus retroflexus</i>), okruh merlíku bílého (<i>Chenopodium album agg.</i>), pěťour malokvětý (<i>Galinsoga parviflora</i>)
XBB02;;; 
XBC01;;;heřmánkovec nevonný (<i>Tripleurospermum inodorum</i>), chundelka metlice (<i>Apera spica-venti</i>)
XBC02;;; 
XBC03;;;heřmánkovec nevonný (<i>Tripleurospermum inodorum</i>), okruh rozrazilu břečťanolistého (<i>Veronica hederifolia agg.</i>)
XBD01;;;chmerek roční (<i>Scleranthus annuus</i>), pumpava obecná (<i>Erodium cicutarium</i>)
XBE01;;;pěťour srstnatý (<i>Galinsoga quadriradiata</i>), ptačinec žabinec (<i>Stellaria media</i>)
XBF01;;;bér přeslenitý (<i>Setaria verticillata</i>), bér sivý (<i>Setaria pumila</i>), ježatka kuří noha (<i>Echinochloa crus-galli</i>), pěťour malokvětý (<i>Galinsoga parviflora</i>)
XBG01;;;okruh merlíku bílého (<i>Chenopodium album agg.</i>)
XBG02;;;merlík červený (<i>Chenopodium rubrum</i>), merlík městský (<i>Chenopodium urbicum</i>), merlík sivý (<i>Chenopodium glaucum</i>), okruh truskavce ptačího (<i>Polygonum aviculare agg.</i>), řeřicha rumní (<i>Lepidium ruderale</i>), úhorník mnohodílný (<i>Descurainia sophia</i>)
XBG03;;;lebeda lesklá (<i>Atriplex sagittata</i>)
XBG04;;;lebeda podlouhlolistá (<i>Atriplex oblongifolia</i>), pýr plazivý  (<i>Elymus repens</i>)
XBG05;;;lebeda tatarská (<i>Atriplex tatarica</i>)
XBG06;;;lebeda růžová (<i>Atriplex rosea</i>), truskavec ptačí (<i>Polygonum aviculare</i>)
XBG07;;;heřmánkovec nevonný (<i>Tripleurospermum inodorum</i>), hulevník Loeselův (<i>Sisymbrium loeselii</i>), pýr plazivý  (<i>Elymus repens</i>), svízel přítula  (<i>Galium aparine</i>)
XBG08;;;kopřiva dvoudomá (<i>Urtica dioica</i>), lebeda hrálovitá širokolistá (<i>Atriplex prostrata subsp. latifolia</i>), úhorník mnohodílný (<i>Descurainia sophia</i>)
XBG09;;;heřmánkovec nevonný (<i>Tripleurospermum inodorum</i>), hulevník vysoký (<i>Sisymbrium altissimum</i>)
XBG10;;;heřmánkovec nevonný (<i>Tripleurospermum inodorum</i>), hulevník lékařský (<i>Sisymbrium officinale</i>), kokoška pastuší tobolka (<i>Capsella bursa-pastoris</i>), kostival lékařský (<i>Symphytum officinale</i>)
XBG11;;;locika kompasová (<i>Lactuca serriola</i>), turanka kanadská (<i>Conyza canadensis</i>), mech (<i>Ceratodon purpureus</i>)
XBG12;;;pelyněk černobýl (<i>Artemisia vulgaris</i>), pouva řepňolistá (<i>Iva xanthiifolia</i>)
XBG13;;;bytel metlatý (<i>Bassia scoparia</i>)
XBH01;;;ječmen myší pravý (<i>Hordeum murinum subsp. murinum</i>), sveřep jalový (<i>Bromus sterilis</i>)
XBH02;;;měrnice černá (<i>Ballota nigra</i>), sveřep jalový (<i>Bromus sterilis</i>)
XBH03;;;huseníček rolní (<i>Arabidopsis thaliana</i>), pýr plazivý  (<i>Elymus repens</i>), sveřep střešní (<i>Bromus tectorum</i>), tolice dětelová (<i>Medicago lupulina</i>)
XBI01;;;okruh truskavce ptačího (<i>Polygonum aviculare agg.</i>), sléz přehlížený (<i>Malva neglecta</i>)
XBI02;;;okruh truskavce ptačího (<i>Polygonum aviculare agg.</i>), rmen smrdutý (<i>Anthemis cotula</i>), sléz nizounký (<i>Malva pusilla</i>)
XBI03;;;kopřiva žahavka (<i>Urtica urens</i>), merlík zední (<i>Chenopodium murale</i>)
XBI04;;;merlík smrdutý (<i>Chenopodium vulvaria</i>), okruh truskavce ptačího (<i>Polygonum aviculare agg.</i>)
XBI05;;;mochna husí (<i>Potentilla anserina</i>), rdesno obojživelné (<i>Persicaria amphibia</i>), rmen smrdutý (<i>Anthemis cotula</i>)
XBJ01;;;merlík hroznový (<i>Dysphania botrys</i>), starček lepkavý (<i>Senecio viscosus</i>)
XBJ02;;;merlík hroznový (<i>Dysphania botrys</i>), slanobýl obecný pravý (<i>Salsola tragus subsp. tragus</i>), starček lepkavý (<i>Senecio viscosus</i>)
XBJ03;;;jetel rolní (<i>Trifolium arvense</i>), jitrocel písečný (<i>Plantago arenaria</i>), paličkovec šedavý (<i>Corynephorus canescens</i>), řeřicha hustokvětá (<i>Lepidium densiflorum</i>), mech (<i>Ceratodon purpureus</i>)
XBK01;;;bér přeslenitý (<i>Setaria verticillata</i>), rosička krvavá (<i>Digitaria sanguinalis</i>), rosička lysá (<i>Digitaria ischaemum</i>)
XBK02;;;bér zelený (<i>Setaria viridis</i>), milička chlupatá (<i>Eragrostis pilosa</i>), okruh truskavce ptačího (<i>Polygonum aviculare agg.</i>), šrucha zelná (<i>Portulaca oleracea</i>)
XBK03;;;proso vláskovité (<i>Panicum capillare</i>)
XBK04;;;troskut prstnatý (<i>Cynodon dactylon</i>)
XBK05;;;ibišek trojdílný (<i>Hibiscus trionum</i>)
XCA01;;;bodlák obecný (<i>Carduus acanthoides</i>), ostropes trubil (<i>Onopordum acanthium</i>)
XCA02;;;jablečník cizí (<i>Marrubium peregrinum</i>), kostřava žlábkatá (<i>Festuca rupicola</i>), šalvěj hajní (<i>Salvia nemorosa</i>)
XCA03;;;mochna stříbrná (<i>Potentilla argentea</i>), pelyněk metlatý (<i>Artemisia scoparia</i>), pelyněk pravý (<i>Artemisia absinthium</i>)
XCB01;;;hadinec obecný (<i>Echium vulgare</i>), komonice bílá (<i>Melilotus albus</i>), komonice lékařská (<i>Melilotus officinalis</i>), mrkev obecná (<i>Daucus carota</i>), pelyněk černobýl (<i>Artemisia vulgaris</i>)
XCB02;;;šedivka šedá pravá (<i>Berteroa incana subsp. incana</i>)
XCB03;;;heřmánkovec nevonný (<i>Tripleurospermum inodorum</i>), mrkev obecná (<i>Daucus carota</i>), rozchodník ostrý (<i>Sedum acre</i>), škarda smrdutá mákolistá (<i>Crepis foetida subsp. rhoeadifolia</i>)
XCB04;;;hořčík jestřábníkovitý (<i>Picris hieracioides</i>), mrkev obecná (<i>Daucus carota</i>), okruh lipnice luční (<i>Poa pratensis agg.</i>)
XCB05;;;pelyněk černobýl (<i>Artemisia vulgaris</i>), podběl lékařský (<i>Tussilago farfara</i>)
XCB06;;;lipnice bahenní  (<i>Poa palustris</i>), lipnice smáčknutá (<i>Poa compressa</i>)
XCB07;;;pelyněk černobýl (<i>Artemisia vulgaris</i>), pýr plazivý  (<i>Elymus repens</i>), vratič obecný (<i>Tanacetum vulgare</i>)
XCB08;;;bělotrn kulatohlavý (<i>Echinops sphaerocephalus</i>), pýr plazivý  (<i>Elymus repens</i>), mech (<i>Brachythecium rutabulum</i>)
XCB09;;;kopřiva dvoudomá (<i>Urtica dioica</i>), zlatobýl kanadský  (<i>Solidago canadensis</i>), zlatobýl obrovský  (<i>Solidago gigantea</i>), mech (<i>Ceratodon purpureus</i>)
XCB10;;;rukevník východní (<i>Bunias orientalis</i>), mech (<i>Brachythecium rutabulum</i>)
XCB11;;;klejicha hedvábná (klejicha vatočník) (<i>Asclepias syriaca</i>), ostružiník ježiník (<i>Rubus caesius</i>), pelyněk černobýl (<i>Artemisia vulgaris</i>), přeslička větevnatá (<i>Equisetum ramosissimum</i>), pýr plazivý  (<i>Elymus repens</i>)
XCC01;;;kopřiva dvoudomá (<i>Urtica dioica</i>), pýr plazivý  (<i>Elymus repens</i>)
XCC02;;;ovsík vyvýšený (<i>Arrhenatherum elatius</i>), pýr plazivý  (<i>Elymus repens</i>), srpek obecný (<i>Falcaria vulgaris</i>)
XCC03;;;okruh lipnice luční (<i>Poa pratensis agg.</i>), oman vrbolistý (<i>Inula salicina</i>), řepík lékařský (<i>Agrimonia eupatoria</i>), sveřep bezbranný (<i>Bromus inermis</i>), svízel severní pravý (<i>Galium boreale subsp. boreale</i>), mech (<i>Brachythecium rutabulum</i>), mech (<i>Oxyrrhynchium hians</i>)
XCC04;;;okruh lipnice luční (<i>Poa pratensis agg.</i>), ovsík vyvýšený (<i>Arrhenatherum elatius</i>), pýr plazivý  (<i>Elymus repens</i>), vesnovka obecná (<i>Lepidium draba</i>)
XCD01;;;kavyl vláskovitý (<i>Stipa capillata</i>)
XCE01;;;kerblík lesní (<i>Anthriscus sylvestris</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), merlík všedobr (<i>Chenopodium bonus-henricus</i>), měrnice černá (<i>Ballota nigra</i>), šťovík tupolistý (<i>Rumex obtusifolius</i>)
XCE02;;;kopřiva dvoudomá (<i>Urtica dioica</i>), lopuch plstnatý (<i>Arctium tomentosum</i>), lopuch větší (<i>Arctium lappa</i>), měrnice černá (<i>Ballota nigra</i>), pelyněk černobýl (<i>Artemisia vulgaris</i>), pýr plazivý  (<i>Elymus repens</i>)
XCE03;;;bolehlav plamatý (<i>Conium maculatum</i>)
XCE04;;;bez chebdí (<i>Sambucus ebulus</i>)
XDA01;;;chmel otáčivý (<i>Humulus lupulus</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), nadmutice bobulnatá (<i>Silene baccifera</i>), opletník plotní (<i>Calystegia sepium</i>), ostružiník ježiník (<i>Rubus caesius</i>), svízel přítula  (<i>Galium aparine</i>)
XDA02;;;kopřiva dvoudomá (<i>Urtica dioica</i>), medyněk měkký (<i>Holcus mollis</i>), opletník plotní (<i>Calystegia sepium</i>), sítina sivá (<i>Juncus inflexus</i>), sítina žabí (<i>Juncus bufonius</i>), vrbovka chlupatá (<i>Epilobium hirsutum</i>)
XDA03;;;kopřiva dvoudomá (<i>Urtica dioica</i>), netýkavka žláznatá (<i>Impatiens glandulifera</i>)
XDA04;;;kopřiva dvoudomá (<i>Urtica dioica</i>), opletka křovištní (<i>Fallopia dumetorum</i>), pelyněk černobýl (<i>Artemisia vulgaris</i>), sveřep bezbranný (<i>Bromus inermis</i>), svízel přítula  (<i>Galium aparine</i>), štětinec laločnatý (<i>Echinocystis lobata</i>)
XDB01;;;bršlice kozí noha (<i>Aegopodium podagraria</i>), devětsil lékařský (<i>Petasites hybridus</i>), kopřiva dvoudomá (<i>Urtica dioica</i>)
XDB02;;;devětsil Kablíkové (<i>Petasites kablikianus</i>), okruh starčku hajního (<i>Senecio nemorensis agg.</i>), ostružiník maliník (<i>Rubus idaeus</i>), mech (<i>Plagiomnium affine</i>)
XDC01;;;čistec lesní (<i>Stachys sylvatica</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), lipnice hajní (<i>Poa nemoralis</i>), máta dlouholistá (<i>Mentha longifolia</i>), netýkavka nedůtklivá (<i>Impatiens noli-tangere</i>), okruh pitulníku žlutého (<i>Galeobdolon luteum agg.</i>), ptačinec hajní (<i>Stellaria nemorum</i>), rulík zlomocný (<i>Atropa bella-donna</i>), svízel vonný (<i>Galium odoratum</i>), válečka lesní (<i>Brachypodium sylvaticum</i>), mech (<i>Brachythecium rutabulum</i>)
XDC02;;;kakost smrdutý (<i>Geranium robertianum</i>), netýkavka malokvětá (<i>Impatiens parviflora</i>), mech (<i>Dicranum scoparium</i>), mech (<i>Hypnum cupressiforme</i>)
XDC03;;;krabilice chlupatá (<i>Chaerophyllum hirsutum</i>), měsíčnice vytrvalá (<i>Lunaria rediviva</i>), udatna lesní (<i>Aruncus dioicus</i>), mech (<i>Oxyrrhynchium hians</i>), mech (<i>Plagiochila asplenioides</i>)
XDC04;;;devětsil bílý (<i>Petasites albus</i>), ostřice převislá (<i>Carex pendula</i>), papratka samičí (<i>Athyrium filix-femina</i>), přeslička rolní (<i>Equisetum arvense</i>), sadec konopáč (<i>Eupatorium cannabinum</i>), sítina rozkladitá (<i>Juncus effusus</i>), skřípina lesní (<i>Scirpus sylvaticus</i>), mech (<i>Brachythecium rutabulum</i>)
XDC05;;;drnavec lékařský (<i>Parietaria officinalis</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), okruh pitulníku žlutého (<i>Galeobdolon luteum agg.</i>), orsej jarní pravý (<i>Ficaria verna subsp. verna</i>)
XDD01;;;česnáček lékařský (<i>Alliaria petiolata</i>), kakost smrdutý (<i>Geranium robertianum</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), krabilice mámivá (<i>Chaerophyllum temulum</i>), netýkavka malokvětá (<i>Impatiens parviflora</i>), svízel přítula  (<i>Galium aparine</i>), vlaštovičník větší (<i>Chelidonium majus</i>), mech (<i>Brachythecium rutabulum</i>), mech (<i>Hypnum cupressiforme</i>)
XDD02;;;kopřiva dvoudomá (<i>Urtica dioica</i>), kuklík městský (<i>Geum urbanum</i>), měrnice černá (<i>Ballota nigra</i>), mochna husí (<i>Potentilla anserina</i>), tořice japonská (<i>Torilis japonica</i>)
XDD03;;;kerblík třebule (<i>Anthriscus cerefolium</i>)
XDE01;;;bršlice kozí noha (<i>Aegopodium podagraria</i>), kopřiva dvoudomá (<i>Urtica dioica</i>)
XDE02;;;kerblík lesní (<i>Anthriscus sylvestris</i>), kopřiva dvoudomá (<i>Urtica dioica</i>)
XDE03;;;bršlice kozí noha (<i>Aegopodium podagraria</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), krabilice zápašná (<i>Chaerophyllum aromaticum</i>), mech (<i>Brachythecium rutabulum</i>)
XDE04;;;bolševník obecný (<i>Heracleum sphondylium</i>), bršlice kozí noha (<i>Aegopodium podagraria</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), krabilice zlatoplodá (<i>Chaerophyllum aureum</i>), ovsík vyvýšený (<i>Arrhenatherum elatius</i>), srha laločnatá (<i>Dactylis glomerata</i>)
XDE05;;;hluchavka skvrnitá (<i>Lamium maculatum</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), krabilice hlíznatá (<i>Chaerophyllum bulbosum</i>), ostružiník ježiník (<i>Rubus caesius</i>), pýr plazivý  (<i>Elymus repens</i>), svízel přítula  (<i>Galium aparine</i>)
XDE06;;;bršlice kozí noha (<i>Aegopodium podagraria</i>), devětsil bílý (<i>Petasites albus</i>), kerblík lesklý (<i>Anthriscus nitidus</i>), krabilice chlupatá (<i>Chaerophyllum hirsutum</i>)
XDE07;;;slunečnice topinambur  (<i>Helianthus tuberosus</i>)
XDE08;;;bolševník velkolepý  (<i>Heracleum mantegazzianum</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), srha laločnatá (<i>Dactylis glomerata</i>)
XDE09;;;kopřiva dvoudomá (<i>Urtica dioica</i>), okruh astřičky novobelgické (<i>Symphyotrichum novi-belgii agg.</i>)
XDE10;;;kopřiva dvoudomá (<i>Urtica dioica</i>), křídlatka česká (<i>Reynoutria x bohemica</i>), křídlatka japonská (<i>Reynoutria japonica</i>), křídlatka sachalinská (<i>Reynoutria sachalinensis</i>)
XDF01;;;bodlák lopuchovitý (<i>Carduus personata</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), krabilice chlupatá (<i>Chaerophyllum hirsutum</i>), pomněnka hajní (<i>Myosotis nemorosa</i>), ptačinec hajní (<i>Stellaria nemorum</i>), šťovík alpský (<i>Rumex alpinus</i>), šťovík tupolistý (<i>Rumex obtusifolius</i>), všedobr horský (<i>Peucedanum ostruthium</i>)
XEA01;;;metlička křivolaká (<i>Avenella flexuosa</i>), ostružiník maliník (<i>Rubus idaeus</i>), psineček obecný (<i>Agrostis capillaris</i>), sítina rozkladitá (<i>Juncus effusus</i>), starček lesní (<i>Senecio sylvaticus</i>), třtina křovištní (<i>Calamagrostis epigejos</i>), vrbovka úzkolistá (<i>Epilobium angustifolium</i>)
XEA02;;;lipnice hajní (<i>Poa nemoralis</i>), metlička křivolaká (<i>Avenella flexuosa</i>), náprstník červený (<i>Digitalis purpurea</i>)
XEA03;;;lipnice hajní (<i>Poa nemoralis</i>), metlička křivolaká (<i>Avenella flexuosa</i>), ostružiník maliník (<i>Rubus idaeus</i>), šťavel kyselý (<i>Oxalis acetosella</i>), třtina křovištní (<i>Calamagrostis epigejos</i>), třtina rákosovitá (<i>Calamagrostis arundinacea</i>)
XEA04;;;metlička křivolaká (<i>Avenella flexuosa</i>), starček hercynský (<i>Senecio hercynicus</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), třtina křovištní (<i>Calamagrostis epigejos</i>), mech (<i>Polytrichum formosum</i>)
XEA05;;;ostružiník maliník (<i>Rubus idaeus</i>), přeslička lesní (<i>Equisetum sylvaticum</i>), starček Fuchsův (<i>Senecio ovatus</i>), třtina křovištní (<i>Calamagrostis epigejos</i>)
XEA06;;;hasivka orličí (<i>Pteridium aquilinum</i>), konvalinka vonná pravá (<i>Convallaria majalis var. majalis</i>), medyněk měkký (<i>Holcus mollis</i>), ostružiník maliník (<i>Rubus idaeus</i>), ostřice třeslicovitá (<i>Carex brizoides</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>)
XEA07;;;kapraď rozložená (<i>Dryopteris dilatata</i>), kapraď samec (<i>Dryopteris filix-mas</i>), papratka samičí (<i>Athyrium filix-femina</i>), mech (<i>Hypnum cupressiforme</i>), mech (<i>Pleurozium schreberi</i>), mech (<i>Polytrichum formosum</i>)
