AAA01;;;vřes obecný (<i>Calluna vulgaris</i>)
LBB04;;;dřín jarní (<i>Cornus mas</i>), habr obecný (<i>Carpinus betulus</i>), konvalinka vonná (<i>Convallaria majalis</i>), lípa srdčitá (<i>Tilia cordata</i>), lipnice hajní (<i>Poa nemoralis</i>), líska obecná (<i>Corylus avellana</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), strdivka jednokvětá (<i>Melica uniflora</i>), svízel lesní (<i>Galium sylvaticum</i>)
LBC01;;;buk lesní (<i>Fagus sylvatica</i>), strdivka jednokvětá (<i>Melica uniflora</i>), svízel vonný (<i>Galium odoratum</i>), šťavel kyselý (<i>Oxalis acetosella</i>)
LBC02;;;bažanka vytrvalá (<i>Mercurialis perennis</i>), buk lesní (<i>Fagus sylvatica</i>), svízel vonný (<i>Galium odoratum</i>), šťavel kyselý (<i>Oxalis acetosella</i>)
LBC03;;;buk lesní (<i>Fagus sylvatica</i>), ostřice chlupatá (<i>Carex pilosa</i>), strdivka jednokvětá (<i>Melica uniflora</i>)
LBC04;;;buk lesní (<i>Fagus sylvatica</i>), javor klen (<i>Acer pseudoplatanus</i>), kapraď samec (<i>Dryopteris filix-mas</i>), papratka samičí (<i>Athyrium filix-femina</i>), šťavel kyselý (<i>Oxalis acetosella</i>)
LBC05;;;bažanka vytrvalá (<i>Mercurialis perennis</i>), jedle bělokorá (<i>Abies alba</i>), kapraď samec (<i>Dryopteris filix-mas</i>), netýkavka nedůtklivá (<i>Impatiens noli-tangere</i>), okruh pitulníku žlutého (<i>Galeobdolon luteum agg.</i>), okruh starčku hajního (<i>Senecio nemorensis agg.</i>), šťavel kyselý (<i>Oxalis acetosella</i>), třtina rákosovitá (<i>Calamagrostis arundinacea</i>), mech (<i>Eurhynchium angustirete</i>), mech (<i>Plagiomnium affine</i>)
LBD01;;;buk lesní (<i>Fagus sylvatica</i>), devětsil bílý (<i>Petasites albus</i>), jestřábník zední (<i>Hieracium murorum</i>), pěchava vápnomilná (<i>Sesleria caerulea</i>)
LBE01;;;bika bělavá (<i>Luzula luzuloides</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), buk lesní (<i>Fagus sylvatica</i>), metlička křivolaká (<i>Avenella flexuosa</i>), smrk ztepilý (<i>Picea abies</i>), třtina rákosovitá (<i>Calamagrostis arundinacea</i>)
LBE02;;;brusnice borůvka (<i>Vaccinium myrtillus</i>), buk lesní (<i>Fagus sylvatica</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), třtina rákosovitá (<i>Calamagrostis arundinacea</i>)
LBE03;;;jedle bělokorá (<i>Abies alba</i>), ostružiník křovitý (<i>Rubus fruticosus agg.</i>), šťavel kyselý (<i>Oxalis acetosella</i>), třtina rákosovitá (<i>Calamagrostis arundinacea</i>), mech (<i>Polytrichum formosum</i>)
LBE04;;;brusnice borůvka (<i>Vaccinium myrtillus</i>), jedle bělokorá (<i>Abies alba</i>), smrk ztepilý (<i>Picea abies</i>), mech (<i>Dicranum polysetum</i>), mech (<i>Dicranum scoparium</i>), mech (<i>Leucobryum glaucum</i>), mech (<i>Pleurozium schreberi</i>), mech (<i>Thuidium tamariscinum</i>)
LBF01;;;bažanka vytrvalá (<i>Mercurialis perennis</i>), habr obecný (<i>Carpinus betulus</i>), jasan ztepilý (<i>Fraxinus excelsior</i>), javor klen (<i>Acer pseudoplatanus</i>), lípa srdčitá (<i>Tilia cordata</i>), lípa velkolistá (<i>Tilia platyphyllos</i>), líska obecná (<i>Corylus avellana</i>), okruh pitulníku žlutého (<i>Galeobdolon luteum agg.</i>), svízel vonný (<i>Galium odoratum</i>), mech (<i>Hypnum cupressiforme</i>)
LBF02;;;bažanka vytrvalá (<i>Mercurialis perennis</i>), jasan ztepilý (<i>Fraxinus excelsior</i>), javor klen (<i>Acer pseudoplatanus</i>), jilm drsný (<i>Ulmus glabra</i>), kapraď samec (<i>Dryopteris filix-mas</i>), lípa srdčitá (<i>Tilia cordata</i>), lípa velkolistá (<i>Tilia platyphyllos</i>), netýkavka nedůtklivá (<i>Impatiens noli-tangere</i>), okruh pitulníku žlutého (<i>Galeobdolon luteum agg.</i>), svízel vonný (<i>Galium odoratum</i>), šťavel kyselý (<i>Oxalis acetosella</i>)
LBF03;;;bažanka vytrvalá (<i>Mercurialis perennis</i>), buk lesní (<i>Fagus sylvatica</i>), jasan ztepilý (<i>Fraxinus excelsior</i>), javor klen (<i>Acer pseudoplatanus</i>), jedle bělokorá (<i>Abies alba</i>), jilm drsný (<i>Ulmus glabra</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), měsíčnice vytrvalá (<i>Lunaria rediviva</i>), okruh pitulníku žlutého (<i>Galeobdolon luteum agg.</i>), udatna lesní (<i>Aruncus dioicus</i>)
LBF04;;;habr obecný (<i>Carpinus betulus</i>), lípa srdčitá (<i>Tilia cordata</i>), lípa velkolistá (<i>Tilia platyphyllos</i>), pěchava vápnomilná (<i>Sesleria caerulea</i>), mech (<i>Hypnum cupressiforme</i>)
LCA01;;;okruh dub pýřitého (<i>Quercus pubescens agg.</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), ostřice nízká (<i>Carex humilis</i>)
LCA02;;;okruh dub pýřitého (<i>Quercus pubescens agg.</i>), ostřice nízká (<i>Carex humilis</i>)
LCA03;;;dřín jarní (<i>Cornus mas</i>), kamejka modronachová (<i>Buglossoides purpurocaerulea</i>), lipnice hajní (<i>Poa nemoralis</i>), okruh dub pýřitého (<i>Quercus pubescens agg.</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), pěchava vápnomilná (<i>Sesleria caerulea</i>), ptačí zob obecný (<i>Ligustrum vulgare</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>)
LCB01;;;dub letní (křemelák) (<i>Quercus robur</i>), jasan ztepilý (<i>Fraxinus excelsior</i>), konvalinka vonná (<i>Convallaria majalis</i>), okruh dub pýřitého (<i>Quercus pubescens agg.</i>), okruh dub zimního (<i>Quercus petraea agg.</i>)
LCB02;;;dub letní (křemelák) (<i>Quercus robur</i>), konvalinka vonná (<i>Convallaria majalis</i>), okruh bezkolence modrého (<i>Molinia caerulea agg.</i>)
LCC01;;;kostřava ovčí (<i>Festuca ovina</i>), lipnice hajní (<i>Poa nemoralis</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), ostřice nízká (<i>Carex humilis</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>)
LCC02;;;kostřava ovčí (<i>Festuca ovina</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), ostřice nízká (<i>Carex humilis</i>), mech (<i>Hypnum cupressiforme</i>)
LCC03;;;dub letní (křemelák) (<i>Quercus robur</i>), lipnice hajní (<i>Poa nemoralis</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), ostřice horská  (<i>Carex montana</i>), sasanka hajní (<i>Anemone nemorosa</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>)
LDA01;;;bika bělavá (<i>Luzula luzuloides</i>), borovice lesní (<i>Pinus sylvestris</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), černýš luční (<i>Melampyrum pratense</i>), dub letní (křemelák) (<i>Quercus robur</i>), kostřava ovčí (<i>Festuca ovina</i>), lipnice hajní (<i>Poa nemoralis</i>), metlička křivolaká (<i>Avenella flexuosa</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), třtina rákosovitá (<i>Calamagrostis arundinacea</i>), mech (<i>Hypnum cupressiforme</i>)
LDA02;;;borovice lesní (<i>Pinus sylvestris</i>), dub letní (křemelák) (<i>Quercus robur</i>), kostřava ovčí (<i>Festuca ovina</i>), metlička křivolaká (<i>Avenella flexuosa</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), mech (<i>Hypnum cupressiforme</i>)
LDA03;;;borovice lesní (<i>Pinus sylvestris</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), dub letní (křemelák) (<i>Quercus robur</i>), metlička křivolaká (<i>Avenella flexuosa</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), mech (<i>Pleurozium schreberi</i>)
LDA04;;;dub letní (křemelák) (<i>Quercus robur</i>), krušina olšová (<i>Frangula alnus</i>), okruh bezkolence modrého (<i>Molinia caerulea agg.</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), ostřice třeslicovitá (<i>Carex brizoides</i>), třtina rákosovitá (<i>Calamagrostis arundinacea</i>)
